"time_arcid","logppt"
145357,0.1184620514
145358,0.1120402063
145359,0.3205606239
145360,0.3207020982
145361,0.3359715986
145362,0.3359715986
145363,0.0969109196
145364,0.0968959585
145365,0.188575024
145366,0.1799691047
145367,0.2348186192
145368,0.2868494541
145369,0.2693690153
145370,0.2898556826
145371,-0.0266050961
145372,-0.0536566723
145373,0.1184620514
145374,0.1105247682
145375,0.3238035229
145376,0.3703930604
145377,0.1061683546
145378,0.1369380155
145379,0.188575024
145380,0.2539775942
145381,0.2501696934
145382,0.2097611802
145383,0.3131249418
145384,0.3228383576
145385,0.2666696626
145386,0.1249937238
145387,-0.0406018635
145388,0.1184620514
145389,0.2628037665
145390,0.1117842451
145391,0.1104193255
145392,0.2912903202
145393,0.3685555588
145394,0.1162300326
145395,0.1626106944
145396,0.2479183212
145397,0.3302952642
145398,0.2241225437
145399,0.0794763365
145400,-0.0400313155
145401,0.1184620514
145402,0.1120402063
145403,0.111423158
145404,0.317130165
145405,0.1924228889
145406,0.3197208421
145407,0.3124372273
145408,0.3101829148
145409,0.3390625623
145410,0.2580073727
145411,0.3422293842
145412,0.237146602
145413,0.2370129036
145414,-0.0269163862
145415,-0.0400313155
145416,-0.0362073833
145417,0.1184620514
145418,0.2237694976
145419,0.1236642671
145420,0.3514603026
145421,0.1837406802
145422,0.3102430122
145423,0.2094546762
145424,0.3401640847
145425,0.3209966881
145426,0.2374085516
145427,-0.0364229899
145428,0.0256710993
145429,-0.0329542004
145430,-0.0892203378
145431,0.380112062
145432,0.0690465435
145433,0.1870252648
145434,0.3344363506
145435,0.2245845756
145436,0.3294239487
145437,0.2094546762
145438,0.248960415
145439,0.3244694112
145440,0.0257429733
145441,0.027864804
145442,0.0347116693
145443,0.2117351874
145444,0.0584491325
145445,0.1688815997
145446,0.2455201133
145447,0.2746955871
145448,0.3070526272
145449,0.3368000966
145450,0.2094546762
145451,0.2253335227
145452,0.2518023475
145453,0.0387296877
145454,0.0387296877
145455,0.1377600719
145456,0.0584491325
145457,0.4065743363
145458,0.2199928137
145459,0.2455201133
145460,0.2935613626
145461,0.2094546762
145462,0.2324359763
145463,0.0387296877
145464,0.0274017876
145465,0.0584491325
145466,0.2888077423
145467,0.127490396
145468,0.2665656136
145469,0.2818826934
145470,0.2988767342
145471,0.219123245
145472,0.2037559887
145473,0.2313620694
145474,0.2146559668
145475,0.0387296877
145476,0.0387296877
145477,-0.1183594544
145478,0.2561523052
145479,0.0584491325
145480,0.236137385
145481,0.2117351874
145482,0.1323145714
145483,0.2694537131
145484,0.0890521665
